ID	WT_GpB_1	WT_GpB_2	WT_GpA_1	WT_GpA_2	WT_GpA_3	WT_GpA_4	WT_GpA_5	WT_GpA_6	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
CCNB1IP1	1187	1029	1116	1228	1937	1863	1452	888	11	12	18	20	62	53	126	21
CCNB3	12	11	19	4	12	17	2	10	0	5	3	1	3	6	0	4
CCND2-AS1	7	8	13	2	5	5	8	2	0	0	0	0	0	0	0	0
CCNE2	129	574	81	148	257	485	45	618	4	59	22	55	31	53	11	89
CCNI2	267	270	212	278	3	674	482	357	42	44	27	21	4	32	34	49
CCNJ	540	345	258	210	245	253	433	189	5	11	19	22	27	22	51	27
CCNJL	0	5	4	6	2	8	12	5	0	0	0	0	0	0	0	0
CCNO	0	5	0	2	9	0	1	1	0	0	0	0	0	0	0	0
CCNT2-AS1	29	19	28	15	19	11	29	32	0	0	0	0	0	0	0	0
CCNYL1	410	384	439	329	509	291	438	398	32	18	27	41	33	18	32	28
CCR1	11	57	20	145	251	47	62	135	3	31	3	35	43	7	4	15
CCR10	43	1	61	7	8	45	21	4	18	1	16	1	5	17	6	1
CCR2	35	41	93	27	3	18	12	1906	5	16	28	3	0	1	3	167
CCR5	30	43	64	126	230	81	57	213	0	10	9	15	30	9	7	39
CCR6	13	81	10	30	81	88	10	100	0	16	1	13	12	6	1	14
CCR8	0	33	0	9	2	0	1	3	0	0	0	0	0	0	0	0
CCR9	1	2	3	1	14	1	1	1	0	0	0	0	0	0	0	0
CCRL2	12	215	5	213	139	58	37	202	4	44	3	27	25	12	4	16
CCSAP	338	432	362	165	170	410	346	451	13	32	23	23	12	46	37	43
CCT6B	61	48	49	28	46	86	31	35	17	5	13	7	9	13	11	5
CCT6P1	330	232	220	242	188	193	361	196	0	0	0	0	0	0	0	0
CCT6P3	180	171	238	71	103	105	194	114	0	0	0	0	0	0	0	0
CD101	1	10	6	17	21	5	38	110	0	3	3	7	4	1	4	21
CD109	4	61	9	17	49	5	6	34	6	16	5	16	10	1	10	12
CD14	9	1065	1	46	96	9	2	5	7	1034	2	17	45	2	0	1
CD160	2	1	20	9	2	26	25	45	0	0	0	0	0	0	0	0
CD163	2	278	4	8	14	14	2	2	0	0	0	0	0	0	0	0
CD163L1	1	3	2	4	8	1	1	1	0	0	0	0	0	0	0	0
CD164L2	1	0	3	3	1	1	1	1	0	0	0	0	0	0	0	0
CD1A	13	1	11	8	19	1	0	35	6	0	7	3	5	0	0	5
CD1B	0	0	2	26	20	0	2	86	0	1	2	3	7	2	0	10
CD1C	757	5	2134	156	4357	29	15	267	117	1	241	14	446	2	2	24
CD1D	6	6	2	3	68	0	1	2	0	0	0	0	0	0	0	0
CD1E	5	9	8	26	46	6	0	191	2	2	3	5	8	0	0	25
CD2	32	63	90	190	97	153	115	257	16	14	24	38	34	36	19	51
CD200R1	104	14	41	11	147	5	55	66	17	3	21	9	27	2	14	7
CD209	3	28	10	40	60	71	9	170	0	5	0	7	5	0	1	17
CD226	15	222	12	15	63	21	14	124	3	28	4	9	6	6	0	21
CD24	3190	1273	3064	300	89	2540	1595	902	217	76	181	14	5	71	37	70
CD244	13	158	49	47	25	90	96	139	0	16	3	5	6	6	0	7
CD247	48	76	133	289	154	163	182	459	3	13	9	12	10	10	6	36
CD248	1	4	4	10	2	4	1	2	0	2	1	2	2	1	0	1
CD276	115	209	44	529	66	122	186	113	8	29	4	28	9	15	18	11
CD27-AS1	117	172	215	94	263	161	97	164	0	0	0	0	0	0	0	0
CD28	25	17	25	43	56	21	39	67	3	2	2	2	3	4	1	1
CD300A	16	74	35	71	34	42	52	152	5	16	2	6	0	5	2	10
CD300C	0	97	0	12	34	0	2	5	0	0	0	0	0	0	0	0
CD300E	1	734	2	3	39	1	1	2	0	0	0	0	0	0	0	0
CD300LB	2	10	0	23	25	14	12	4	0	0	0	0	0	0	0	0
CD300LF	3	94	1	31	47	2	0	13	0	0	0	0	0	0	0	0
CD33	3	72	5	14	41	3	3	26	0	0	0	0	0	0	0	0
CD34	1	233	0	17	1	4	1	10	0	31	0	2	0	0	0	1
CD36	11	15	1	20	3	9	6	26	0	5	0	3	3	0	1	0
CD38	0	185	10	126	90	10	113	36	0	116	4	18	13	1	22	12
CD3D	8	30	38	107	53	49	48	100	23	20	23	30	16	21	18	39
CD3E	60	47	180	434	161	213	179	501	18	12	27	48	19	40	16	71
CD3G	18	16	41	76	51	65	60	126	8	10	14	17	9	8	9	27
CD4	36	553	73	327	294	119	97	246	3	141	11	23	29	7	3	37
CD5L	19	3	35	4	8	25	23	6	0	0	0	0	0	0	0	0
CD6	379	223	519	949	94	1060	625	3099	88	23	77	102	13	99	39	442
CD7	6	74	28	141	53	66	79	65	7	15	9	22	14	18	22	24
CD81-AS1	5	0	4	3	2	2	3	8	0	0	0	0	0	0	0	0
CD8A	53	386	195	849	89	1750	1448	364	25	83	39	113	15	228	279	44
CD8B	12	88	22	127	21	66	26	125	4	5	5	11	0	5	7	16
CD9	3	72	60	77	76	130	7	82	2	41	18	12	13	24	3	26
CD93	9	405	2	14	9	24	2	22	0	64	0	2	2	2	1	1
CD96	31	85	62	112	383	79	94	164	1	5	17	19	71	17	17	30
CD99	444	734	646	559	270	470	465	365	193	340	244	137	36	137	132	55
CD99P1	29	32	50	12	32	23	26	19	0	0	0	0	0	0	0	0
CDA	1	69	20	55	172	13	12	65	0	16	3	7	10	1	4	10
CDADC1	535	298	341	194	176	305	554	150	15	18	16	17	7	20	84	17
CDC14B	278	259	574	96	203	274	595	126	11	18	22	13	15	29	69	7
CDC20B	3	48	2	28	16	51	8	0	0	11	0	5	2	1	1	1
CDC25A	58	547	130	1026	627	1211	192	936	13	84	7	161	53	83	12	81
CDC25C	9	126	22	116	134	216	41	217	2	63	3	27	25	20	2	22
CDC26	308	208	359	183	200	257	280	273	27	75	28	33	18	61	36	12
CDC37L1-AS1	3	4	3	2	1	6	2	6	0	0	0	0	0	0	0	0
CDC42BPA	73	535	139	293	2634	163	131	20	4	50	34	15	879	23	21	7
CDC42BPG	127	37	145	215	52	110	118	473	33	5	22	18	5	12	12	48
CDC42EP1	2	343	33	73	187	13	38	71	5	21	7	10	9	3	0	25
CDC42EP2	67	152	90	174	60	123	145	96	18	26	10	8	4	9	15	9
CDC42EP4	8	185	43	88	572	84	13	83	2	28	5	12	29	3	1	3
CDC42EP5	1	4	1	2	7	4	0	0	0	0	0	0	0	0	0	0
CDC42P3	21	2	20	26	22	18	16	16	0	0	0	0	0	0	0	0
CDCA2	47	396	35	221	413	176	39	561	15	129	20	145	87	62	13	112
CDCA3	94	439	98	849	612	529	134	942	19	137	30	125	82	53	17	162
CDCA7	21	575	39	467	469	591	64	337	0	115	8	53	91	60	8	52
CDCA8	126	807	236	1140	994	830	358	1280	29	207	36	166	107	67	20	143
CDCP1	1	272	3	6	4	1	4	6	0	0	0	0	0	0	0	0
CDCP2	9	0	3	2	0	7	1	9	0	0	0	0	0	0	0	0
CDH1	13	613	14	22	9	14	32	35	4	358	6	3	1	3	5	6
CDH11	11	5	17	17	13	14	17	11	4	2	3	6	1	12	8	1
CDH12	3	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0
CDH13	2	1	5	4	2	2	2	2	0	0	0	0	0	0	0	0
CDH15	0	1	1	7	3	4	11	0	0	1	1	0	4	0	1	1
CDH17	4	1	11	9	10	5	6	4	1	3	1	1	1	2	0	2
CDH18	2	1	2	5	2	2	2	2	0	0	0	0	0	0	0	0
CDH2	3	101	3	8	3	3	4	3	0	0	0	0	0	0	0	0
CDH22	4	1	24	8	2	18	1	24	0	0	0	0	0	0	0	0
CDH23	81	69	32	78	48	28	8	106	12	12	9	13	7	14	4	16
CDH24	67	51	81	332	46	221	83	200	14	3	12	31	10	18	13	31
CDH26	43	15	30	5	7	20	15	19	0	1	4	2	5	3	4	2
CDH3	14	11	17	34	1	11	26	27	14	5	4	4	1	0	4	3
CDH4	6	77	15	5	7	7	9	6	0	0	0	0	0	0	0	0
CDH6	1	3	1	4	1	1	2	1	0	0	0	0	0	0	0	0
CDH8	3	1	4	9	3	3	4	3	0	0	0	0	0	0	0	0
CDHR1	2	29	30	13	355	12	3	23	1	9	1	10	52	2	0	3
CDHR2	5	7	5	11	15	5	1	5	0	0	0	0	0	0	0	0
CDHR4	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0
CDK1	102	1408	71	791	722	641	174	1040	18	300	25	207	115	79	27	129
CDK15	1	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0
CDK18	72	442	178	286	117	299	169	531	31	63	21	45	10	32	30	83
CDK20	2	6	4	10	18	3	3	6	0	0	0	0	0	0	0	0
CDK3	0	0	0	0	0	0	0	0	8	10	16	13	17	18	4	30
CDK5R1	581	234	372	142	508	492	325	42	33	20	37	14	58	44	36	8
CDK5R2	1	2	2	1	24	1	1	2	0	0	0	0	0	0	0	0
CDK6	44	5425	196	931	1694	512	151	194	18	335	24	142	206	39	18	33
CDKL1	191	57	321	104	230	186	238	213	21	7	49	17	35	25	27	25
CDKL2	38	2	19	31	10	11	41	8	3	1	3	4	2	1	5	4
CDKL3	66	41	75	28	62	50	102	35	27	7	14	9	15	11	16	5
CDKL5	9	43	25	36	104	46	11	12	7	23	12	14	40	18	8	10
CDKN1C	3	30	9	29	9	3	8	24	0	16	5	2	2	3	6	6
CDKN2A	65	94	170	70	291	125	29	75	25	29	45	17	68	35	5	28
CDKN2B	8	76	27	2	80	20	1	8	0	5	0	1	7	0	0	0
CDKN2B-AS1	45	51	74	18	25	45	6	28	0	0	0	0	0	0	0	0
CDKN2C	54	185	191	471	457	191	81	583	6	10	8	18	10	10	8	25
CDKN3	24	241	35	169	286	172	71	286	3	50	11	64	37	23	8	80
CDNF	27	11	28	14	26	13	31	35	0	0	0	0	0	0	0	0
CDON	8	21	3	12	24	6	6	5	0	0	0	0	0	0	0	0
CDPF1	172	165	353	172	163	249	290	172	8	20	20	11	19	21	19	15
CDR2L	8	21	36	63	47	49	70	115	19	5	5	9	2	6	7	1
CDRT1	11	5	8	2	1	0	1	3	0	0	0	0	0	0	0	0
CDRT15P1	1	0	4	0	1	1	2	1	0	0	0	0	0	0	0	0
CDRT4	0	0	0	0	0	0	0	0	0	0	3	6	3	9	27	12
CEACAM1	72	5	110	101	104	53	152	242	37	2	37	28	26	22	18	70
CEACAM16	1	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0
CEACAM19	4	283	2	13	2	7	1	10	0	0	0	0	0	0	0	0
CEACAM21	78	30	155	180	57	72	149	304	3	3	19	10	10	14	18	44
CEACAM22P	3	8	1	8	1	5	2	7	0	0	0	0	0	0	0	0
CEBPA	1	291	2	75	129	15	4	102	2	24	2	12	4	3	6	13
CEBPB-AS1	11	19	20	9	36	12	22	9	0	0	0	0	0	0	0	0
CEBPD	0	43	15	19	29	8	15	22	11	17	12	19	16	13	15	10
CEBPE	24	7	16	47	21	13	4	19	1	5	2	4	1	3	10	2
CEBPZOS	818	677	598	389	457	509	666	657	0	0	0	0	0	0	0	0
CECR1	851	253	1391	192	289	907	416	1034	177	77	214	53	42	93	31	139
CECR2	17	30	60	21	137	4	21	22	3	8	6	7	18	3	2	6
CECR6	0	4	3	6	12	11	2	4	0	0	0	0	0	0	0	0
CECR7	384	287	277	131	1	298	604	761	0	0	0	0	0	0	0	0
CEL	5	6	6	13	7	4	2	4	0	1	1	1	4	0	1	1
CELA1	3	1	5	8	4	4	4	3	1	0	1	1	1	2	2	1
CELA2B	1	1	3	1	2	2	2	1	0	0	0	0	0	0	0	0
CELF2-AS1	8	2	19	6	9	30	11	7	0	0	0	0	0	0	0	0
CELF3	2	1	5	9	10	2	2	1	0	0	0	0	0	0	0	0
CELF4	63	48	79	141	31	71	176	3	13	10	4	3	3	4	5	0
CELF5	7	2	9	14	8	8	10	7	4	3	3	5	4	0	4	1
CELF6	75	47	90	59	44	69	86	27	6	5	7	5	5	6	1	3
CELSR2	13	281	65	166	222	99	23	281	3	24	9	16	17	7	0	38
CELSR3-AS1	4	1	1	4	0	5	0	7	0	0	0	0	0	0	0	0
CEMIP	5	16	27	23	151	50	24	17	3	3	3	10	6	3	8	8
CEMP1	23	4	27	8	17	27	10	15	2	1	4	5	4	2	1	5
CEND1	11	16	11	4	11	22	15	0	0	0	0	0	0	0	0	0
CENPA	14	181	12	184	329	101	22	204	0	15	2	15	16	6	3	16
CENPBD1	251	227	411	233	189	272	295	275	7	8	4	6	5	11	2	10
CENPBD1P1	628	478	719	862	720	644	769	512	0	0	0	0	0	0	0	0
CENPE	23	2156	51	107	143	171	125	343	10	247	23	158	156	69	52	103
CENPF	45	3779	77	342	1031	233	72	879	17	567	47	357	542	116	39	322
CENPI	30	303	73	149	218	383	146	306	19	84	14	60	46	66	11	41
CENPK	225	740	94	264	204	365	168	323	11	155	33	85	76	117	34	78
CENPM	62	381	73	542	290	444	99	645	44	162	19	198	52	86	24	150
CENPN	178	691	193	571	832	677	319	758	15	123	21	69	80	84	39	52
CENPP	218	174	219	227	196	412	332	399	53	33	31	37	21	39	30	39
CENPU	302	2298	111	575	418	958	244	1181	25	312	31	165	56	132	20	195
CENPV	503	602	586	738	65	438	640	1130	88	81	61	68	6	68	121	194
CENPW	65	206	54	217	154	277	141	203	13	67	10	69	28	64	20	31
CEP112	6	3	2	2	1	2	2	1	0	0	0	0	0	0	0	0
CEP126	32	64	17	15	33	29	19	10	5	3	4	5	5	8	6	3
CEP128	101	178	93	80	111	81	53	183	12	17	16	19	24	7	27	30
CEP170B	20	86	75	224	322	128	44	45	7	8	10	12	20	11	16	6
CEP170P1	19	68	15	10	24	14	7	14	0	0	0	0	0	0	0	0
CEP19	285	207	264	79	162	172	168	125	37	32	13	12	32	30	48	2
CEP295NL	6	6	8	2	4	1	1	12	0	0	0	0	0	0	0	0
CEP55	132	1281	97	349	571	309	151	1129	11	185	23	167	129	50	20	199
CEP57L1	147	190	62	66	101	108	96	129	12	48	44	17	49	53	27	24
CEP70	197	124	140	59	60	130	136	136	8	12	23	11	25	20	35	12
CEP83-AS1	10	14	10	13	8	27	12	17	0	0	0	0	0	0	0	0
CEP85L	769	692	469	168	80	517	283	697	41	36	67	37	19	108	75	84
CERCAM	27	34	54	103	285	40	41	39	19	11	10	15	33	12	5	7
CERKL	2	2	4	25	123	2	2	2	0	0	0	0	0	0	0	0
CERS3	6	1	2	9	1	0	13	0	0	0	0	0	0	0	0	0
CERS6	9	2332	223	293	1356	38	713	726	44	283	84	107	148	40	88	94
CES1	0	35	2	14	52	19	7	48	0	15	1	6	5	0	1	13
CES3	4	10	9	9	52	25	4	2	0	0	0	0	0	0	0	0
CES4A	22	111	167	32	68	90	96	204	7	14	26	4	8	15	18	23
CETN4P	5	1	2	2	2	6	4	9	0	0	0	0	0	0	0	0
CETP	282	26	355	68	197	221	76	69	61	8	51	8	19	23	10	9
CFAP126	7	2	26	5	7	25	9	6	2	0	3	5	6	3	6	8
CFAP43	45	2	17	4	22	2	10	2	3	0	2	1	5	1	1	1
CFAP44	194	364	123	31	132	100	93	57	8	4	24	8	17	14	9	16
CFAP45	36	24	56	18	41	41	33	32	18	3	7	4	7	3	2	7
CFAP46	0	1	1	14	11	4	4	0	0	0	0	0	0	0	0	0
CFAP47	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1
CFAP53	10	7	11	9	15	17	10	4	0	0	0	0	0	0	0	0
CFAP54	3	1	2	7	2	4	4	11	0	0	0	0	0	0	0	0
CFAP58	3	26	3	5	6	11	3	6	0	0	0	0	0	0	0	0
CFAP58-AS1	3	12	1	5	10	0	3	8	0	0	0	0	0	0	0	0
CFAP69	3	5	6	14	18	14	4	3	0	0	0	0	0	0	0	0
CFAP70	101	65	90	21	81	16	94	32	12	7	19	1	17	2	8	6
CFB	0	200	12	77	71	19	34	58	0	49	2	21	13	1	9	24
CFD	13	52	15	14	13	9	5	24	11	26	2	7	4	2	0	9
CFH	1	4	5	3	7	1	1	3	0	0	0	0	0	0	0	0
CFI	0	74	0	0	0	3	3	0	0	0	0	0	0	0	0	0
CFL1P1	35	5	32	53	50	75	19	9	0	0	0	0	0	0	0	0
CFL2	625	308	538	508	398	644	736	450	49	22	19	40	26	18	46	14
CFLAR-AS1	31	8	66	10	11	63	14	9	0	0	0	0	0	0	0	0
CFP	37	426	25	209	52	34	28	86	8	176	4	31	16	13	8	34
CGN	162	196	148	64	91	64	52	68	33	50	17	10	10	7	2	16
CGNL1	13	28	5	13	12	4	9	4	0	0	0	0	0	0	0	0
CGREF1	11	13	26	8	8	22	40	3	0	0	0	0	0	0	0	0
CH17-340M24.3	31	28	37	24	35	31	25	20	0	0	0	0	0	0	0	0
CHAC1	644	766	873	359	1279	1081	1115	165	83	148	122	33	98	122	124	23
CHAC2	311	152	170	282	143	308	202	246	31	31	23	31	29	18	17	29
CHAD	2	2	3	3	2	2	2	2	0	0	0	0	0	0	0	0
CHADL	4	5	4	4	2	7	1	2	0	0	0	0	0	0	0	0
CHAT	1	0	2	3	1	2	2	1	0	0	0	0	0	0	0	0
CHCHD4	258	235	294	242	279	309	406	310	42	38	20	26	19	27	15	24
CHCHD6	92	61	95	129	83	98	108	70	19	12	13	10	12	9	13	15
CHD5	61	17	83	131	39	78	247	11	28	4	11	16	4	22	25	11
CHGA	4	1	6	11	5	5	6	4	0	0	0	0	0	0	0	0
CHI3L1	2	4	1	104	139	22	12	62	0	2	1	50	51	8	9	33
CHI3L2	53	84	102	173	84	448	48	271	9	40	29	28	18	93	11	31
CHIC1	654	333	426	105	273	142	335	348	15	5	21	8	12	7	13	17
CHIT1	11	0	18	24	125	7	3	29	0	0	0	0	0	0	0	0
CHKB	1	2	2	2	1	4	1	6	75	54	125	99	86	105	102	215
CHKB-AS1	20	19	33	13	15	34	29	14	0	0	0	0	0	0	0	0
CHL1	0	0	3	7	717	3	3	0	0	0	0	0	0	0	0	0
CHML	237	2039	154	126	212	192	143	236	11	45	15	22	22	36	50	11
CHMP3	35	17	48	35	40	56	73	27	54	27	31	23	23	49	17	17
CHN1	106	28	60	52	40	62	50	17	0	3	3	2	8	1	9	1
CHN2	1	11	2	8	6	5	1	13	0	0	0	0	0	0	0	0
CHODL	19	4	22	10	5	25	8	14	0	0	0	0	0	0	0	0
CHP2	2	1	2	8	2	2	2	2	0	0	0	0	0	0	0	0
CHRD	1	0	1	2	3	1	1	1	0	0	0	0	0	0	0	0
CHRDL1	1	11	3	1	1	1	1	1	0	0	0	0	0	0	0	0
CHRFAM7A	28	44	6	5	3	3	3	1	4	5	1	1	1	0	0	1
CHRM1	1	0	2	2	1	1	1	1	0	0	0	0	0	0	0	0
CHRM3	7	11	3	14	7	3	5	4	0	0	0	0	0	0	0	0
CHRM4	8	6	6	10	11	0	3	10	0	0	0	0	0	0	0	0
CHRM5	5	2	3	2	3	1	6	1	0	0	0	0	0	0	0	0
CHRNA1	22	17	20	31	7	26	9	6	5	12	7	8	16	13	12	2
CHRNA10	27	21	27	17	17	16	24	10	0	0	0	0	0	0	0	0
CHRNA2	3	1	3	7	3	3	4	3	0	0	0	0	0	0	0	0
CHRNA5	32	73	24	52	34	287	70	43	3	20	4	8	16	34	7	4
CHRNA6	1118	540	750	133	1	1713	913	372	193	123	97	14	1	175	74	51
CHRNA7	12	34	2	5	1	3	0	0	0	0	0	0	0	0	0	0
CHRNA9	3	0	2	4	20	3	0	0	0	0	0	0	0	0	0	0
CHRNB1	218	138	364	348	308	296	289	253	48	17	35	49	37	41	20	38
CHRNB2	2	1	5	5	2	7	2	2	0	0	0	0	0	0	0	0
CHRNE	53	105	201	28	155	67	53	44	3	17	39	2	28	12	13	18
CHRNG	2	1	2	2	2	2	2	1	0	0	0	0	0	0	0	0
CHST1	6	1	17	36	38	7	28	6	1	1	2	3	4	2	3	2
CHST10	404	374	623	380	559	566	833	319	43	37	57	18	28	38	53	21
CHST13	2	2	2	11	19	2	2	10	11	1	2	3	1	0	2	1
CHST15	323	268	532	585	1443	685	711	232	44	35	41	46	166	68	69	17
CHST3	16	99	32	126	44	34	44	15	0	0	0	0	0	0	0	0
CHST5	1	2	2	11	10	3	3	1	0	0	0	0	0	0	0	0
CHST7	91	278	139	210	427	44	67	139	30	96	36	48	76	11	18	36
CIART	0	4	4	7	37	5	6	9	6	1	2	3	7	1	1	1
CIB2	79	82	79	190	84	205	163	139	4	3	12	14	7	36	43	27
CIDEB	14	52	10	29	13	17	5	31	15	10	55	30	48	69	40	56
CIDEC	1	3	5	21	12	5	15	8	0	0	0	0	0	0	0	0
CIDECP	102	131	168	141	132	107	127	111	0	0	0	0	0	0	0	0
CILP	8	4	5	4	2	6	8	2	0	0	0	0	0	0	0	0
CILP2	16	47	2	5	20	3	0	2	6	19	2	4	0	4	2	1
CIRBP-AS1	15	4	10	24	12	13	11	19	0	0	0	0	0	0	0	0
CISD3	298	206	274	432	83	322	363	277	89	39	25	44	5	47	73	71
CITED4	3	582	13	81	30	33	34	56	2	91	3	4	0	6	5	12
CKAP2L	17	439	17	99	214	139	17	252	12	92	20	133	125	58	15	79
CKLF	13	28	25	34	20	42	19	27	12	12	21	13	12	12	14	24
CKM	8	10	19	33	9	30	35	7	29	14	9	18	1	34	24	9
CKMT1A	0	10	2	0	0	12	2	0	0	0	0	0	0	0	0	0
CKMT2	3	1	2	4	3	3	4	3	0	0	0	0	0	0	0	0
CKMT2-AS1	76	63	69	66	46	82	86	41	0	0	0	0	0	0	0	0
CKS1B	154	646	138	327	338	290	215	330	55	490	125	55	87	171	54	21
CLC	7	5	6	60	6	14	10	7	0	0	0	0	0	0	0	0
CLCF1	306	456	266	859	1875	245	240	95	64	68	33	71	255	38	46	7
CLCN1	1	4	2	4	2	2	2	4	0	0	0	0	0	0	0	0
CLCN2	63	59	98	107	48	77	84	78	29	5	13	29	12	23	13	24
CLCNKA	1	2	2	5	3	8	5	2	0	0	0	0	0	0	0	0
CLCNKB	1	0	1	6	1	1	1	3	0	0	0	0	0	0	0	0
CLDN1	5	12	2	3	0	17	8	0	0	0	0	0	0	0	0	0
CLDN12	292	179	242	198	599	188	189	59	32	39	28	27	87	17	14	7
CLDN14	0	9	2	1	4	0	0	0	0	0	0	0	0	0	0	0
CLDN15	429	308	971	483	435	604	565	287	27	25	40	30	32	28	31	35
CLDN16	6	22	1	7	0	8	2	1	0	0	0	0	0	0	0	0
CLDN19	2	10	3	10	3	3	3	6	0	0	0	0	0	0	0	0
CLDN20	3	1	4	2	3	3	4	3	0	0	0	0	0	0	0	0
CLDN23	2	14	3	6	12	3	8	139	0	0	0	0	0	0	0	0
CLDN7	16	41	69	29	20	54	30	56	3	12	15	1	0	8	7	7
CLDN9	2	2	10	5	2	17	3	2	3	5	1	1	0	0	1	0
CLDND2	2	4	5	9	4	3	7	7	0	0	0	0	0	0	0	0
CLEC10A	0	30	1	2	1	12	1	81	0	0	0	0	0	0	0	0
CLEC11A	1	23	6	12	28	1	2	15	3	8	2	3	1	1	3	3
CLEC12A	3	98	1	36	268	22	6	12	0	35	2	5	81	1	1	1
CLEC18B	8	6	2	5	1	2	2	7	0	0	0	0	0	0	0	0
CLEC19A	61	5	75	7	0	13	22	73	0	0	0	0	0	0	0	0
CLEC1A	0	10	5	0	2	3	0	9	0	0	0	0	0	0	0	0
CLEC2B	51	70	12	42	16	16	7	164	0	16	3	9	5	1	1	40
CLEC4A	26	340	20	55	56	26	4	65	2	98	11	6	11	1	4	14
CLEC4C	0	0	17	0	0	0	0	16	0	0	3	0	0	0	0	3
CLEC4D	1	116	1	7	30	5	6	3	0	0	0	0	0	0	0	0
CLEC4E	3	236	3	32	102	18	17	11	0	127	0	13	23	8	3	5
CLEC4G	4	14	6	10	0	22	9	26	0	0	0	0	0	0	0	0
CLEC4M	27	1	26	7	3	31	2	1	0	0	0	0	0	0	0	0
CLEC5A	0	8	1	15	99	13	2	1	0	4	0	2	14	0	0	0
CLEC6A	6	15	1	11	45	1	1	16	0	4	0	10	13	0	0	4
CLEC7A	7	232	4	33	215	18	11	123	0	78	1	6	28	3	1	3
CLECL1	559	201	1201	152	666	186	116	534	120	33	163	23	111	27	10	33
CLHC1	133	72	47	45	64	99	47	53	0	1	2	3	5	6	1	3
CLIC2	123	579	1542	256	430	353	1463	375	13	156	275	50	144	57	199	151
CLIC3	0	5	4	3	41	3	4	11	0	0	0	0	0	0	0	0
CLIC5	27	9	42	54	17	69	55	41	7	1	4	7	0	7	18	7
CLIC6	27	87	3	45	1	21	15	4	10	15	3	9	4	5	5	3
CLIP1-AS1	1	0	1	2	1	1	2	1	0	0	0	0	0	0	0	0
CLIP3	41	16	30	36	34	19	8	14	6	6	7	3	4	3	2	4
CLIP4	296	372	278	174	516	187	339	62	35	61	34	27	96	24	54	9
CLK2P1	3	3	12	14	18	19	3	6	0	0	0	0	0	0	0	0
CLLU1	28	82	46	2	1	1	1	9	0	0	0	0	0	0	0	0
CLLU1OS	5	51	59	37	1	14	71	13	0	0	0	0	0	0	0	0
CLMN	234	445	251	89	132	71	244	571	33	106	42	29	22	12	30	92
CLMP	2	1	2	4	2	3	3	2	0	0	0	0	0	0	0	0
CLNK	2489	865	1799	236	3	3313	1342	2247	523	150	447	62	3	613	314	541
CLSTN2	1	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0
CLTCL1	27	25	39	57	67	54	77	8	9	5	3	12	12	4	12	4
CLUHP3	864	506	2372	713	494	1450	3055	472	0	0	0	0	0	0	0	0
CLUL1	0	0	0	0	0	0	0	0	0	2	2	4	7	7	12	4
CLVS1	2	1	1	4	2	2	2	20	0	0	0	0	0	0	0	0
CLVS2	1	0	1	3	1	1	2	1	0	0	0	0	0	0	0	0
CMAHP	499	407	294	165	99	829	622	207	0	0	0	0	0	0	0	0
CMBL	2	9	1	8	3	12	4	16	0	0	0	0	0	0	0	0
CMC4	150	79	158	129	111	215	130	115	17	12	22	6	9	13	18	14
CMKLR1	15	106	19	95	118	4	4	57	4	14	4	5	11	0	0	5
CMPK2	4	44	6	20	7	20	9	13	0	0	0	0	0	0	0	0
CMTM1	14	14	5	1	2	8	1	9	0	0	0	0	0	0	0	0
CMTM4	51	260	77	167	61	121	109	172	20	7	5	11	0	11	16	8
CMTM7	320	715	111	429	931	81	139	72	95	138	15	44	150	18	44	3
CMTM8	10	6	2	6	8	3	10	7	0	0	0	0	0	0	0	0
CMYA5	22	44	17	6	16	17	11	9	1	1	5	1	11	0	0	1
CNBD2	4	12	8	3	21	0	16	4	0	0	0	0	0	0	0	0
CNDP1	0	1	1	2	9	3	11	0	0	0	0	0	0	0	0	0
CNEP1R1	399	238	280	376	477	311	353	305	54	35	45	40	40	27	36	17
CNGA1	2	4	2	4	3	3	3	6	2	1	3	11	4	6	12	6
CNGA3	10	5	20	39	12	12	15	10	8	2	3	6	1	10	9	2
CNGA4	2	3	3	1	9	0	0	2	0	0	0	0	0	0	0	0
CNGB1	3	1	2	6	3	3	3	2	0	0	0	0	0	0	0	0
CNIH2	9	12	10	44	7	36	7	31	0	0	0	0	0	0	0	0
CNIH3	1	0	3	13	5	3	5	8	4	0	2	1	1	0	0	1
CNKSR1	48	14	96	23	18	27	85	60	0	0	0	0	0	0	0	0
CNKSR3	17	60	43	114	13	263	78	155	4	18	3	9	2	18	8	5
CNN1	2	1	6	14	13	3	3	2	0	0	0	0	0	0	0	0
CNN3	20	872	60	222	11	515	344	865	25	247	11	43	1	75	32	117
CNPY4	157	104	321	207	179	295	239	149	22	26	23	18	19	31	24	19
CNR1	335	113	30	68	351	25	24	71	27	9	5	18	30	2	6	2
CNRIP1	0	21	1	5	0	7	2	5	0	0	0	0	0	0	0	0
CNTD1	5	1	10	4	11	5	6	4	0	0	0	0	0	0	0	0
