	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
ATG16L2	323	522	293	642	509	539	228	358
ATG2A	628	436	751	1411	745	793	980	780
ATG2B	1857	1399	1424	971	1431	1114	1354	1176
ATG3	1679	1510	1257	2184	1626	1886	1680	1061
ATG4A	566	305	557	437	563	558	601	395
ATG4B	1067	727	1530	1696	1469	1085	1389	1336
ATG4C	551	333	352	202	394	282	340	359
ATG4D	446	226	603	879	544	492	625	632
ATG5	1219	798	891	628	910	737	600	696
ATG7	620	525	1008	902	822	1108	904	691
ATG9A	1212	805	1569	1772	1263	1484	1909	1275
ATHL1	297	283	219	363	207	401	345	356
ATIC	3073	2563	3809	5027	4059	5776	4930	3320
ATL2	1515	1015	790	1160	1155	1053	1169	1112
ATL3	1885	1091	2089	1554	2144	1617	1863	2064
ATM	2880	3471	2253	679	2272	1476	1201	2002
ATMIN	1420	1137	1373	872	1386	934	1378	1430
ATN1	2046	1506	2742	3706	2090	2579	3129	2375
ATOX1	396	659	501	625	525	384	408	653
ATP10D	517	226	1210	422	1294	946	915	883
ATP11A	2368	3112	4111	3688	2290	4229	4106	2439
ATP11B	3318	3076	1875	1376	2638	1617	2622	2091
ATP11C	1094	1131	759	356	500	449	770	688
ATP13A1	1912	1477	2720	3355	2229	2216	3557	3033
ATP13A2	593	451	1040	998	1012	680	1068	670
ATP13A3	5737	7079	2751	2027	4389	2734	3847	2476
ATP1A1	5884	6644	9079	18236	13813	10933	8171	9890
ATP1A3	190	38	295	631	325	282	464	199
ATP1B1	1394	651	1623	275	550	855	409	427
ATP1B3	1986	2628	2065	2496	3301	2099	2003	1602
ATP2A2	4958	6984	6437	9075	6858	6305	9774	6141
ATP2A3	3746	2047	4198	5721	4463	3086	3522	5753
ATP2B1	26991	12350	8448	7288	3132	9268	11688	4569
ATP2B4	2885	2996	3001	1987	245	3501	2841	3029
ATP2C1	3849	2580	3263	2346	2347	2702	3799	2688
ATP5A1	15419	8501	18240	15597	15652	16342	18671	13407
ATP5B	23149	20615	25935	47698	25802	34533	40398	20762
ATP5C1	3250	2009	2741	3163	3002	3972	3956	3017
ATP5D	1183	1124	1106	2120	1182	1274	1133	1250
ATP5E	371	75	460	186	308	302	217	238
ATP5F1	4467	2875	3316	2915	3379	4589	4305	3087
ATP5G1	2174	1104	3126	2397	1507	3124	3930	2331
ATP5G2	4631	6168	5574	9956	5334	6162	6720	5339
ATP5G3	5635	3064	5059	11739	6379	6989	8857	5634
ATP5H	1977	1288	2509	1857	1715	2369	1883	1744
ATP5I	593	756	664	772	596	622	681	664
ATP5J	975	857	1125	1127	1037	1270	1203	1101
ATP5J2	668	707	786	557	617	761	882	693
ATP5L	3356	2586	2936	5021	3045	3665	3629	3287
ATP5O	2533	2025	2840	1892	2009	2382	2233	2443
ATP5S	243	261	301	214	273	297	298	302
ATP5SL	1000	686	1201	1471	1019	1546	1529	1195
ATP6AP1	1531	1750	2009	2834	3013	1644	1925	1825
ATP6AP2	2645	1708	2363	1827	2567	2155	2408	1981
ATP6V0A1	1952	507	3058	1605	3466	1357	1356	1370
ATP6V0A2	7699	4667	7738	4817	2199	7838	12198	2325
ATP6V0B	2473	1656	3722	4871	3642	2073	2935	2464
ATP6V0C	1535	1513	1607	3011	2386	1339	1537	1896
ATP6V0D1	2059	1744	3086	3338	4750	2048	2560	1886
ATP6V0E1	6870	3261	11273	5046	7601	5945	8016	7207
ATP6V1A	2972	1747	2548	2366	2530	2962	3140	2552
ATP6V1B2	2213	2316	3639	3065	3928	2443	3584	2601
ATP6V1C1	2477	1604	1531	1626	1681	1174	1794	1567
ATP6V1D	974	522	766	1035	948	692	854	582
ATP6V1E1	2719	1956	3670	1902	3110	2628	2775	2518
ATP6V1F	1179	1132	1437	1887	1567	1303	1260	1526
ATP6V1G1	1209	1276	1318	1325	1503	1062	1238	1103
ATP6V1H	1237	870	1663	1722	1796	1412	1577	1384
ATP7A	969	397	620	369	648	465	569	661
ATP8A1	3874	3749	3468	1505	1422	3040	3758	2564
ATP8B2	1995	903	3704	3506	2535	3543	3273	2161
ATP9B	492	400	914	644	1007	570	733	531
ATPAF1	1001	1204	1401	1154	1046	1731	1456	2541
ATPAF2	458	229	489	980	440	597	538	571
ATPIF1	863	677	1565	712	785	957	835	1120
ATR	1200	1995	765	614	773	872	815	852
ATRAID	716	614	873	1072	753	797	747	1047
ATRIP	286	197	492	455	346	500	515	367
ATRN	2605	1377	3383	2094	1067	2673	4386	2179
ATRX	2726	5241	2546	895	1953	1678	1787	1942
ATXN1	3383	1128	4238	1647	4168	1971	2554	721
ATXN10	1903	1080	2573	1654	2252	2067	2433	1471
ATXN1L	1687	977	3063	2324	2118	1789	2639	2380
ATXN2	859	1030	1039	1477	1125	995	1293	717
ATXN2L	5145	4751	9061	6166	6130	7150	8767	4697
ATXN3	798	583	622	444	882	432	654	458
ATXN7	3403	1312	3419	1868	1789	2191	3349	1344
ATXN7L2	206	110	284	300	188	218	377	229
ATXN7L3	2539	1497	3389	4326	3784	3250	3982	2366
ATXN7L3B	2960	2284	4373	2529	2289	3460	4086	2567
AUH	1167	722	1119	342	230	748	979	1310
AUP1	4011	1631	5554	5288	5645	4713	5767	3744
AURKA	221	498	304	428	793	469	337	541
AURKAIP1	598	605	731	891	623	645	605	541
AURKB	77	1059	114	1577	1463	1238	211	1508
AVEN	367	277	534	638	279	551	272	358
AVL9	2888	1903	3514	1429	2403	2550	3186	2215
AXIN1	1434	1214	2353	2004	1968	1416	2047	1432
AZI2	606	661	468	273	467	402	528	386
AZIN1	9669	4999	9223	6484	7025	7356	9237	7028
B2M	108918	78756	179318	92528	97243	110966	149154	132789
B3GALT4	125	95	299	133	117	109	113	157
B3GALT6	573	431	799	545	489	562	664	516
B3GAT3	663	481	878	1078	435	778	892	960
B3GNT2	3362	1476	3651	1784	2651	2854	3454	823
B4GALT1	7075	6066	10434	5980	5999	6906	10717	20853
B4GALT3	758	439	1204	1294	1084	987	1092	1440
B4GALT4	569	499	665	426	644	556	652	479
B4GALT5	2205	2045	2854	3507	3654	2775	4049	1241
B4GAT1	200	101	266	329	198	210	263	261
BABAM1	2489	1231	3017	2959	2622	3097	3324	3175
BACH1	2759	2318	2160	613	2309	881	1755	1155
BACH2	20237	5133	19781	8259	8352	18593	18149	3224
BAD	243	179	253	350	216	236	215	176
BAG1	1256	916	1750	1353	1639	1541	1787	1686
BAG2	383	364	268	239	251	335	293	262
BAG3	301	195	398	990	661	396	382	201
BAG4	1027	540	720	457	607	701	755	660
BAG5	2104	1541	2064	785	1304	1503	2106	1464
BAG6	5936	3177	8591	9461	7569	7863	8929	5380
BAHD1	1857	972	3237	2494	2304	2333	2576	1528
BAK1	405	415	610	814	746	493	671	699
BANF1	1666	1626	2297	2685	1407	2104	2171	2480
BANK1	1904	1580	1025	712	2269	903	966	583
BANP	268	219	318	402	407	307	360	293
BAP1	2272	1483	2760	3528	2895	3272	3711	3141
BARD1	422	444	246	345	294	495	368	780
BASP1	7705	5437	4768	6277	6263	1386	6032	3202
BATF	830	1162	866	1318	1789	1199	664	671
BATF3	8268	5564	10866	8497	1636	9955	13340	6545
BAX	1456	1061	2013	2709	1445	2096	2227	2236
BAZ1A	6605	5081	3985	2432	3393	3657	5223	2429
BAZ1B	7599	4802	6771	4172	5765	5932	6685	4759
BAZ2A	13440	8727	25123	22057	16045	20211	23208	12825
BAZ2B	859	1388	653	240	161	286	431	727
BBIP1	433	312	378	241	269	351	336	243
BBS1	158	193	305	336	184	298	389	261
BBS2	271	475	1005	270	443	624	552	404
BBS4	283	211	441	318	308	360	344	501
BBS7	260	212	245	117	240	225	235	114
BBS9	237	131	368	185	437	232	252	213
BBX	3918	2616	2053	1372	2016	1889	2313	2185
BCAP29	591	1295	512	312	647	549	498	355
BCAP31	1762	1600	2471	2826	2160	1889	2051	2094
BCAR3	552	202	1759	753	3073	1055	1217	570
BCAS2	703	759	460	420	639	423	440	541
BCAS3	470	240	1045	587	568	612	815	740
BCAS4	1156	331	2975	585	907	1331	1168	1355
BCAT1	6069	14630	2436	2645	8903	1769	1427	4329
BCAT2	610	474	815	1174	694	884	927	740
BCCIP	1557	1225	1059	853	797	1191	1282	998
BCDIN3D	286	250	259	191	246	264	257	268
BCKDHA	457	534	555	933	655	689	824	890
BCKDHB	338	287	375	293	253	407	466	454
BCKDK	387	573	583	744	706	592	513	457
BCL10	1518	465	1441	767	1380	1112	1217	1351
BCL11A	4338	1497	5413	2302	1299	4030	4599	3824
BCL2	18378	4747	20424	4974	7170	8190	12634	9409
BCL2A1	3144	1473	1371	7084	3261	2700	3312	1034
BCL2L1	14927	5489	21016	13607	6223	14949	18024	7110
BCL2L11	3356	3361	1980	5368	1275	1481	5164	4283
BCL2L12	393	397	524	811	389	587	583	762
BCL2L13	1596	919	2547	1702	2263	2195	2273	1807
BCL3	644	1908	992	874	1233	792	1341	950
BCL6	2475	1323	1091	1716	2479	2065	2634	1122
BCL7B	900	862	1726	1069	1297	1099	1305	1010
BCL7C	408	516	422	901	717	430	485	235
BCL9L	1522	1939	1996	3318	1018	1709	1635	1286
BCLAF1	7530	8983	3781	2328	2857	2960	3640	3976
BCOR	2566	2142	5213	3608	3338	3328	3356	2502
BCORL1	405	383	634	569	679	687	626	347
BCR	849	592	883	525	1479	214	932	1076
BCS1L	676	509	904	894	506	1083	1063	646
BDH1	558	158	813	629	451	1096	718	544
BDP1	3337	3637	2684	831	1330	1638	1859	2315
BECN1	2735	1571	3786	3046	3287	3026	3094	2911
BEND3	110	131	159	313	129	249	248	208
BEND4	1472	799	1840	538	524	1104	1423	1274
BEND5	367	145	283	373	302	644	382	93
BET1L	1607	1011	2982	2278	2468	2208	2945	2481
BEX2	211	349	237	163	172	465	259	341
BFAR	1504	1065	2467	1960	2764	2440	2480	2012
BHLHE40	17791	9771	36305	14488	22256	20726	24735	5001
BICD1	523	428	788	357	619	515	514	1012
BICD2	1516	1182	2160	2350	2206	1380	1810	2650
BID	1132	724	926	1437	3240	975	1218	211
BIN1	1842	466	1384	2823	4169	1451	1716	1543
BIN2	1291	1212	1545	759	331	1258	1454	969
BIN3	493	416	826	790	729	674	766	803
BIRC2	12667	4390	8649	2417	4452	4087	5938	1639
BIRC3	64738	74538	21475	10359	18927	13224	24786	7329
BIRC6	7532	5308	6252	3900	5553	4500	5139	4218
BLK	3978	1024	13974	5977	8824	5091	6481	10771
BLM	729	1295	468	436	748	872	695	717
BLMH	1567	1169	1613	2120	1509	1423	1892	1807
BLNK	1344	541	2556	574	2140	693	1071	1729
BLOC1S1	321	358	260	593	313	361	271	293
BLOC1S2	1496	924	1250	916	1414	1262	1193	1031
BLOC1S4	212	140	289	197	357	284	272	169
BLOC1S6	2853	2991	1742	924	1790	1433	2255	2054
BLVRA	1104	1815	3097	1743	2192	1817	2938	1903
BLVRB	95	123	161	381	194	96	79	182
BMF	8884	3157	21503	4650	4007	9962	9849	6853
BMP2K	495	1325	841	705	996	541	518	1203
BMPR2	3321	1072	2712	995	1511	1584	2154	2560
BMS1	2831	1942	2740	1403	2262	1954	2366	1887
BNIP1	396	227	496	472	446	513	546	464
BNIP2	2171	1900	1352	780	1357	1171	1547	1116
BNIP3	236	280	318	358	245	333	391	304
BNIP3L	2290	1958	1960	1120	2610	1048	1120	1417
BOD1L1	4148	5803	3770	1081	2037	2249	2276	2664
BOLA3	81	160	76	138	76	121	105	95
BOP1	934	743	842	1546	509	1048	1459	798
BORA	602	481	365	280	608	359	341	460
BPGM	788	416	1803	674	534	887	1335	1434
BPNT1	878	314	1233	654	2613	1026	874	705
BPTF	4306	4750	3921	1393	3375	2100	2444	2302
BRAF	776	375	815	585	907	661	804	363
BRAP	986	963	866	957	963	683	956	938
BRAT1	904	514	1410	1001	608	963	960	766
BRCA1	360	2454	368	819	760	1494	509	1103
BRCA2	197	2543	324	212	299	795	220	470
BRCC3	641	752	377	248	320	387	291	389
BRD1	963	841	1556	1814	1531	1236	1417	1062
BRD2	13132	7330	22287	15795	13635	17115	20874	14122
BRD3	1944	1086	3008	1543	1457	2187	2517	1219
BRD4	4620	2109	5852	5320	4242	4535	5359	3573
BRD7	1957	2014	1556	1039	1382	1375	1417	1172
BRD8	1014	940	1443	1391	1250	1184	1120	1460
BRD9	1039	705	1519	1350	1068	1127	1513	664
BRE	1828	1223	2353	2263	1370	3113	2662	1833
BRF1	383	371	537	569	359	485	535	497
BRF2	276	192	392	458	324	388	355	441
BRI3	1155	748	1714	803	1050	765	1056	455
BRI3BP	182	318	203	532	294	307	206	228
BRIX1	1537	1349	838	1019	835	1247	1499	1018
BRK1	2423	1513	3600	2917	2730	3029	2855	2905
BRMS1	1769	841	2151	1979	1611	1868	2335	1687
BROX	1492	957	881	415	820	649	912	911
BRPF1	916	718	1442	1947	1342	1282	1597	1261
BRPF3	1397	966	3044	2357	1490	2403	2765	1586
BRWD1	2174	1947	1902	744	1006	1099	1619	1283
BRWD3	1798	1242	1149	492	702	680	975	893
BSCL2	35	31	47	53	37	52	48	52
BSDC1	1036	819	2348	1427	1786	1349	1541	1378
BSG	4086	4011	5442	7114	7244	4111	4918	3729
BST2	1387	1019	2338	3730	863	2150	3834	2646
BTAF1	5697	6361	5107	2126	3548	3916	5303	2971
BTBD1	4670	2669	3172	1698	2819	2167	3332	2607
BTBD10	526	431	549	477	496	503	525	503
BTBD2	1507	978	1970	2114	1567	1393	1716	1868
BTBD6	184	167	354	349	398	275	178	288
BTBD7	1260	737	981	1123	1301	848	1200	1011
BTBD9	531	246	914	811	681	612	699	635
BTD	231	241	304	256	168	284	347	190
BTF3	19453	12704	14815	11426	14391	17667	17423	11980
BTG1	11219	9145	13255	10119	15527	10939	8938	7237
BTG2	3871	1305	9042	3113	17765	3494	3282	5137
BTG3	684	689	600	484	687	914	495	651
BTK	5198	2547	8146	4686	7583	7113	7238	5436
BTLA	4816	914	4433	954	1409	3141	1929	1754
BTN2A1	1167	874	2003	933	1496	1259	1410	933
BTN2A2	1692	799	3792	1158	1439	1982	1568	2555
BTN3A1	1323	593	3006	1502	2019	1627	2137	2293
BTN3A2	3310	1092	5659	2879	3201	4421	3605	3937
BTN3A3	1143	529	3016	1510	1204	2073	2954	3418
BTRC	1179	485	1314	946	1193	1108	1411	943
BUB1	160	879	150	706	783	558	430	1301
BUB1B	307	1453	279	972	826	1422	524	1735
BUB3	2097	2467	2229	2375	3186	2447	2288	3036
BUD13	607	587	1017	924	859	1173	873	1086
BUD31	1004	1038	1418	1014	974	1450	1104	821
BYSL	1084	609	1241	1330	745	1784	1612	810
BZW1	7847	5678	3226	4423	2731	2846	4775	2296
BZW2	2059	1496	2578	4650	3030	3929	3439	2928
C10orf12	439	236	579	230	388	362	492	386
C10orf2	858	781	1112	1252	643	1250	1765	991
C10orf54	499	1207	619	862	2572	431	419	788
C10orf76	740	627	1142	1006	1268	1097	973	590
C10orf88	510	262	470	194	432	323	454	322
C11orf24	306	297	569	349	857	517	346	712
C11orf30	875	788	757	853	788	750	766	1118
C11orf31	1781	1045	1724	1745	1167	1637	1518	896
C11orf49	501	242	630	681	443	653	770	496
C11orf54	929	478	839	460	665	618	869	656
C11orf57	1592	1070	915	750	1078	1322	1348	894
C11orf58	5003	3010	4163	2024	3581	3420	3945	3232
C11orf68	661	308	1148	762	777	664	1036	1039
C11orf73	921	597	1233	805	558	989	743	992
C11orf80	324	218	921	270	234	428	412	694
C11orf84	574	555	957	1032	791	1166	981	842
C12orf10	983	937	1068	1541	1460	1326	1234	991
C12orf29	545	721	276	308	255	386	591	350
C12orf4	491	815	294	445	401	442	493	835
C12orf43	341	446	461	790	489	575	565	553
C12orf45	402	316	355	301	358	466	377	231
C12orf49	1367	1571	2790	1808	3905	1544	2330	1816
C12orf57	886	1070	1240	1342	909	652	476	1562
C12orf65	682	503	865	560	613	675	769	612
C12orf66	365	325	447	302	296	437	443	377
C14orf1	1081	1186	1255	1715	1344	1206	1419	1317
C14orf119	1199	819	1871	1126	1026	1304	1374	1484
C14orf159	609	574	1768	1064	1284	1237	1378	1870
C14orf166	2530	2540	2314	2836	2706	2572	2396	2172
C14orf169	346	435	574	494	439	485	458	440
C14orf2	1354	1188	1612	1008	1274	1417	1455	1111
C15orf39	317	752	332	946	453	536	280	2053
C15orf40	387	228	573	300	390	483	414	472
C15orf57	2039	325	4078	1087	785	1790	1852	2219
C16orf13	552	316	420	855	555	463	485	407
C16orf58	972	704	2243	1044	1182	1269	1442	1205
C16orf62	863	617	2149	1057	2227	1751	1659	1315
C16orf70	368	310	593	782	588	540	593	492
C16orf72	2986	1308	2924	2479	2843	2667	2973	1465
C16orf91	246	169	335	266	223	249	258	253
C17orf59	410	263	588	433	703	323	329	382
C17orf62	3082	2303	4765	4571	3883	3360	4330	3629
C17orf75	679	491	728	521	763	881	791	535
C17orf80	736	553	690	277	393	529	627	640
C17orf85	1885	1276	1922	1790	2025	1998	1840	1668
C17orf89	370	297	530	368	276	554	523	438
C18orf21	375	282	344	232	351	403	415	293
C18orf25	1372	653	1606	1094	1300	1168	1460	1613
C18orf8	828	716	1398	1012	1992	1184	1661	1054
C19orf24	615	451	957	795	813	816	804	659
C19orf43	3941	3078	4934	6805	6103	4112	4442	4348
C19orf44	204	122	276	291	189	319	371	138
C19orf47	197	199	288	590	237	327	335	487
C19orf52	273	189	437	334	381	352	310	359
C19orf53	903	787	1198	1286	1012	911	1009	841
C19orf54	201	360	341	397	381	471	300	280
C19orf60	186	165	177	355	155	167	174	244
C19orf66	476	511	992	960	673	762	1015	973
C19orf70	680	494	577	1459	562	763	819	637
C1D	460	392	286	326	421	394	460	413
C1GALT1	1411	1176	691	398	700	591	908	927
C1GALT1C1	751	356	540	357	300	443	601	659
C1orf109	806	423	1069	545	756	1119	979	731
C1orf112	278	337	416	555	616	880	435	441
C1orf122	450	361	566	534	496	455	495	534
C1orf123	373	480	639	555	430	571	481	488
C1orf131	410	315	322	283	181	423	305	300
C1orf174	580	384	906	454	603	572	586	510
C1orf216	444	335	694	424	438	540	453	560
C1orf27	446	691	386	176	254	264	263	267
C1orf35	275	214	321	239	175	306	178	158
C1orf43	3964	2542	6115	4026	7288	4362	5088	3572
C1orf50	160	139	221	270	209	181	166	194
C1orf52	453	346	364	301	414	365	434	283
C1orf74	207	212	504	244	350	474	404	331
C1QBP	2853	3084	2726	4107	3361	4643	4259	3033
C1RL	255	496	435	394	266	401	472	578
C20orf194	647	294	953	782	695	529	516	727
C20orf196	184	85	308	115	186	196	215	235
C20orf27	560	411	395	846	592	775	866	479
C21orf2	369	271	655	381	222	275	431	560
C21orf33	1244	1139	2505	1712	2002	1959	2146	2644
C21orf59	889	560	992	789	635	851	891	654
C2CD2L	367	303	564	639	599	519	615	401
C2CD3	1059	1025	1802	1343	1148	1895	1797	1450
C2CD5	1442	2243	977	660	1007	850	729	1173
C2orf42	405	243	721	276	494	505	537	363
C2orf44	851	438	885	477	426	934	915	564
C2orf47	280	218	335	291	322	341	336	257
C2orf49	961	458	826	425	672	556	987	584
C2orf68	918	626	2034	849	1026	1316	1129	1417
C2orf69	734	619	378	266	526	339	447	445
C3orf17	2837	1635	1668	1028	1608	1546	2311	1777
C3orf38	2159	795	2317	1208	1567	1417	1983	1712
C4orf27	465	405	334	465	254	543	415	505
C4orf29	267	217	238	138	264	235	270	247
C4orf3	1324	938	1551	739	846	1055	1196	1255
C4orf46	1647	1167	1236	1214	813	2437	1944	1053
C5orf15	1487	1434	1567	1196	1517	1356	1897	1254
C5orf22	799	585	897	638	654	848	1137	1007
C5orf24	1393	1032	995	674	783	783	1381	1040
C5orf28	717	662	709	248	502	517	565	383
C5orf30	855	477	398	501	223	724	716	493
C5orf42	324	765	260	154	282	307	141	266
C5orf45	262	122	679	206	109	292	319	459
C5orf51	1963	1001	1272	683	1159	1157	1375	956
C6orf106	10132	4574	27269	9670	11265	13559	18299	19092
C6orf120	1334	687	948	319	401	613	864	485
C6orf136	234	264	365	283	251	288	376	331
C6orf47	1358	693	2142	1394	866	1498	1627	1339
C6orf62	8298	4780	7344	5100	6451	6821	8854	6234
C6orf89	2252	1786	3823	2403	3138	3184	3034	3115
C7orf25	316	223	287	146	165	308	224	178
C7orf26	765	405	942	1036	834	773	1014	1016
C7orf43	443	276	620	549	438	458	455	407
C7orf49	745	1054	2168	1053	1453	1777	1154	1093
C7orf50	365	351	434	443	561	389	264	226
C7orf73	1140	1220	1151	1220	1269	1161	1212	1274
C8orf33	933	635	1338	1162	933	1250	1348	842
C8orf59	778	523	665	488	480	728	818	434
C8orf76	96	50	96	74	94	86	85	64
C8orf82	496	175	455	393	243	516	689	547
C9orf114	1301	659	1868	1886	1014	1679	1844	1926
C9orf142	209	432	187	466	269	399	138	287
C9orf156	514	315	725	351	543	435	579	494
C9orf3	217	94	398	152	151	148	214	335
C9orf40	249	299	226	418	334	431	425	288
C9orf64	199	347	439	251	433	523	413	259
C9orf72	735	757	425	327	485	619	610	406
C9orf78	1497	1059	1796	1190	1316	1314	1800	1412
C9orf89	218	176	243	428	186	227	203	449
C9orf91	3327	1260	5682	2163	2718	2676	3731	2432
CAAP1	748	507	648	385	805	453	639	446
CAB39	5430	3658	3369	2241	3518	2925	3028	3801
CABIN1	1659	1509	2984	3622	2562	2792	3078	4533
CACTIN	439	415	506	982	414	503	586	555
CACUL1	1164	791	1143	674	1201	763	1199	812
CACYBP	1270	1601	1503	1648	2916	1195	1093	2025
CAD	2935	3379	4527	8725	4103	8177	6763	5388
CALCOCO1	841	571	1614	1279	1496	913	1136	1306
CALCOCO2	3462	1547	5253	1879	3309	4623	4274	3049
CALM1	10563	5234	10310	8962	9099	8544	11240	7209
CALM2	12293	8293	10046	9362	10561	13178	10834	8139
CALM3	9355	5296	11869	18736	10627	11924	12609	11243
CALR	20165	11515	24577	26587	20974	16961	23900	23620
CALU	2497	2291	2763	3321	3297	2384	2882	3663
CAMK1D	3636	3092	11332	4269	3787	7353	6163	4772
CAMK2D	3101	918	2892	2266	3937	2579	2219	3825
CAMK2G	1053	579	1579	2134	1258	1748	1491	1871
CAMKK2	1595	2661	4187	2843	2915	3480	2641	2198
CAMKMT	212	110	234	201	177	202	212	219
CAMLG	1561	946	1653	1017	1694	1458	1380	778
CAMSAP1	1995	1500	5841	1529	2166	2807	3643	1519
CAMTA1	483	482	468	823	531	546	679	360
CAMTA2	2337	1248	3815	2952	3243	2839	3524	2064
CAND1	8508	6872	4188	3590	5498	4738	5245	4198
CANT1	964	989	1394	1797	1468	1265	1401	1755
CANX	26345	18594	24432	20398	30824	23151	31109	16383
CAP1	8095	6402	11046	8920	8546	8240	8797	5561
CAPG	12265	4189	19550	15613	7310	15369	10548	8299
CAPN1	4430	1769	6694	5695	5131	4773	5553	3517
CAPN10	310	242	395	518	341	288	378	303
CAPN15	599	690	735	1215	882	586	809	847
CAPN2	1588	998	2176	2175	1241	2481	1781	1932
CAPN7	1354	1073	877	526	881	719	964	819
CAPNS1	7463	4082	10403	12017	10292	8833	7652	7024
CAPRIN1	7392	5900	6546	8653	7796	8293	7886	6908
CAPZA1	11013	6842	6716	4883	7944	7588	8061	6078
CAPZA2	5875	2948	3299	1944	4600	2930	4115	2861
CAPZB	8970	4400	14005	10425	10241	11533	12462	8712
CARD11	2445	1097	6705	2530	5073	2541	4534	4170
CARD8	1394	1463	2219	1442	1757	2124	2149	2469
CARHSP1	125	215	387	380	1010	447	192	490
CARKD	754	570	1493	732	1250	818	989	840
CARM1	4310	2882	5179	7520	4205	6004	6663	2573
CARS	5350	3026	11428	3505	6567	7817	9229	3485
CARS2	1008	893	1433	1444	1021	1025	1401	1542
CASC3	2672	1779	5693	3017	3373	3473	4447	3445
CASC4	1551	1498	1331	518	1089	718	993	983
CASC5	124	1263	112	262	409	251	223	813
CASD1	1002	713	678	205	514	536	536	498
CASK	1235	697	1023	555	171	967	1303	1055
CASP1	66	493	134	349	374	377	459	602
CASP2	1086	1041	1758	1789	1290	2085	1708	2147
CASP3	1656	1394	809	603	1167	761	774	1637
CASP4	1083	1144	2074	1134	1761	1922	1855	1866
CASP7	1526	1114	2029	1703	2378	1558	2488	639
CASP8	880	435	1061	592	611	765	708	900
CASP8AP2	554	2210	454	327	704	447	312	578
CASP9	337	351	646	455	641	367	409	706
CAST	4728	3926	7589	3102	5041	4884	4564	7866
CASZ1	2351	1189	3609	3157	997	2555	3430	1915
CAT	1453	438	2249	1077	1320	1396	1159	1279
CAV1	58	137	371	485	1036	81	477	1210
CBFA2T2	769	453	1225	743	1035	956	1013	840
CBFA2T3	3436	1576	6513	2949	4508	4279	3255	2351
CBFB	1184	1121	1177	1208	1376	1257	1502	1321
CBL	1348	1045	3512	1973	2738	2467	2893	2897
CBLB	943	535	741	2320	2325	1921	3879	881
CBLL1	1485	1065	1289	1083	1236	1108	1674	1382
CBR1	138	413	160	373	684	277	126	213
CBR4	686	630	660	280	480	544	607	514
CBWD2	376	349	261	165	208	196	244	145
CBX1	1614	1288	1786	1234	1547	1844	1481	1538
CBX3	3854	4085	1855	1942	2199	2844	2895	2225
CBX4	207	596	339	650	2271	189	180	430
CBX5	6360	5932	6011	6574	6329	9022	7228	10063
CBX6	6969	3005	8766	6902	4835	6680	7047	4842
CBX7	2196	891	5352	1512	2411	1849	1439	3586
CC2D1A	600	519	729	1380	850	1027	1005	634
CC2D1B	1426	890	2930	1647	2076	1645	1892	1403
CCAR1	5071	3599	2642	1355	1836	2658	2555	1846
CCAR2	3663	2114	6003	4964	4510	5375	6226	4391
CCBL1	132	137	253	190	134	228	307	285
CCBL2	840	680	845	698	957	892	1010	823
CCDC101	283	168	289	332	203	320	326	200
CCDC106	1983	591	4373	933	808	1827	2326	941
CCDC107	108	104	286	57	235	51	87	80
CCDC109B	531	447	643	715	1051	972	638	634
