,Control.vs.Treated.Gene,Control.vs.Treated.mRNA_logFC,Control.vs.Treated.mRNA_FDR,Control.vs.Treated.Change_type,Control.vs.Treated.P.value,Control.vs.Treated.FDR,Control.vs.Treated.Direction
295,ADAM9,0.38871601985212,1,translational_only,0.092365319355996,0.853641480087831,-1
296,ADAMDEC1,0,1,translational_only,NA,NA,1
297,ADAMTS1,-0.284945220262212,1,translational_only,NA,NA,1
298,ADAMTS10,0,1,translational_only,NA,NA,1
299,ADAMTS12,-1.50667208214705,1,both,NA,NA,1
300,ADAMTS13,1.93947202735147,1,both,NA,NA,1
301,ADAMTS14,0,1,translational_only,NA,NA,1
302,ADAMTS15,0,1,translational_only,NA,NA,1
303,ADAMTS16,1.48206401323169,1,translational_only,NA,NA,1
304,ADAMTS17,-0.151242400621789,1,translational_only,NA,NA,1
305,ADAMTS18,2.26137850022417,1,both,NA,NA,1
306,ADAMTS19,0,1,translational_only,NA,NA,1
307,ADAMTS19-AS1,0,1,translational_only,NA,NA,1
308,ADAMTS2,0.06854858517926,1,translational_only,NA,NA,1
309,ADAMTS20,0,1,translational_only,NA,NA,1
310,ADAMTS3,-2.38301053403805,1,both,NA,NA,1
311,ADAMTS4,0.215626045125494,1,translational_only,0.26417200326294,1,-1
312,ADAMTS5,0,1,translational_only,NA,NA,1
313,ADAMTS6,1.64456382705225,1,both,NA,NA,1
314,ADAMTS7,-0.129875445293151,1,translational_only,NA,NA,1
315,ADAMTS7P1,0,1,translational_only,NA,NA,1
316,ADAMTS8,-2.38399144368832,1,both,NA,NA,1
317,ADAMTS9,0.722105839633412,1,translational_only,NA,NA,1
318,ADAMTS9-AS1,0.926399314873024,1,translational_only,0.49766390219971,1,-1
319,ADAMTS9-AS2,0,1,translational_only,NA,NA,1
320,ADAMTSL1,0.041446538277718,1,translational_only,NA,NA,1
321,ADAMTSL2,0.284979667531273,1,translational_only,NA,NA,1
322,ADAMTSL3,0,1,translational_only,NA,NA,1
323,ADAMTSL4,-0.1940254712436,1,translational_only,0.785875244138206,1,-1
324,ADAMTSL4-AS1,-2.38399159282781,1,both,NA,NA,1
325,ADAMTSL5,0.163412122954424,1,translational_only,NA,NA,1
326,ADAP1,3.09526626891174,1,both,NA,NA,1
327,ADAP2,0,1,translational_only,NA,NA,1
328,ADAR,0.547960163164632,1,translational_only,0.206496898897982,1,-1
329,ADARB1,0.170291302253962,1,translational_only,NA,NA,1
330,ADARB2,0.631345606990121,1,translational_only,NA,NA,1
331,ADARB2-AS1,0,1,translational_only,NA,NA,1
332,ADAT1,0.206190415012297,1,translational_only,0.633498515665564,1,-1
333,ADAT2,0.518709797258079,1,translational_only,NA,NA,1
334,ADAT3,0,1,translational_only,NA,NA,1
335,ADCK1,2.26134946623087,1,both,NA,NA,1
336,ADCK2,-0.795689442329715,1,translational_only,NA,NA,1
337,ADCK3,1.19118002891367,1,translational_only,NA,NA,1
338,ADCK4,0.939065940492718,1,translational_only,NA,NA,1
339,ADCK5,1.12881934796514,1,translational_only,NA,NA,1
340,ADCY1,-0.095185902870625,1,translational_only,NA,NA,1
341,ADCY10,2.26674317545141,1,both,NA,NA,1
342,ADCY10P1,1.08468666009596,1,translational_only,NA,NA,1
343,ADCY2,-0.526334914595864,1,translational_only,NA,NA,1
344,ADCY3,-0.041011165911827,1,translational_only,0.48266021596425,1,-1
345,ADCY4,-2.38399079698003,1,both,NA,NA,1
346,ADCY5,0.241671720048871,1,translational_only,0.966918284332885,1,-1
347,ADCY6,-0.457549948595718,1,translational_only,NA,NA,1
348,ADCY7,0.266816832113231,1,translational_only,0.165597104888329,1,-1
349,ADCY8,2.26676270236287,1,both,NA,NA,1
350,ADCY9,0.546363068051994,1,translational_only,NA,NA,1
351,ADCYAP1,0,1,translational_only,NA,NA,1
352,ADCYAP1R1,-0.976144642506832,1,translational_only,NA,NA,1
353,ADD1,0.481884303037281,1,translational_only,0.12186337073956,0.943037793182212,-1
354,ADD2,0.344281029790623,1,translational_only,0.377892085044883,1,-1
355,ADD3,-0.961132426364473,1,translational_only,NA,NA,1
356,ADD3-AS1,-0.092728808845817,1,translational_only,NA,NA,1
357,ADGB,0,1,translational_only,NA,NA,1
358,ADGRA1,0,1,translational_only,NA,NA,1
359,ADGRA1-AS1,0,1,translational_only,NA,NA,1
360,ADGRA2,-0.213904457917893,1,translational_only,0.479152406634844,1,-1
361,ADGRA3,0.278636540458674,1,translational_only,NA,NA,1
362,ADGRB1,0,1,translational_only,NA,NA,1
363,ADGRB2,4.33067000588541,1,both,NA,NA,1
364,ADGRB3,0,1,translational_only,NA,NA,1
365,ADGRD1,0,1,translational_only,NA,NA,1
366,ADGRE1,4.01914692199918,1,both,NA,NA,1
367,ADGRE2,0.421252526498498,1,translational_only,NA,NA,1
368,ADGRE3,0,1,translational_only,NA,NA,1
369,ADGRE4P,-0.458903963183725,1,translational_only,NA,NA,1
370,ADGRE5,-0.82986740385669,1,translational_only,NA,NA,1
371,ADGRF1,-2.01403311567911,1,both,NA,NA,1
372,ADGRF2,-2.38399000303007,1,both,NA,NA,1
373,ADGRF3,0.531107977267312,1,translational_only,0.921211717410502,1,-1
374,ADGRF4,0,1,translational_only,NA,NA,1
375,ADGRF5,0,1,translational_only,NA,NA,1
376,ADGRG1,-0.533414148416057,1,translational_only,NA,NA,1
377,ADGRG2,0.138444238784207,1,translational_only,NA,NA,1
378,ADGRG3,0,1,translational_only,NA,NA,1
379,ADGRG4,3.11504436068584,1,both,NA,NA,1
380,ADGRG5,-3.24002253407167,1,both,NA,NA,1
381,ADGRG6,-0.120995240073266,1,translational_only,NA,NA,1
382,ADGRG7,0,1,translational_only,NA,NA,1
383,ADGRL1,0.041521889453567,1,translational_only,0.180694413875298,1,-1
384,ADGRL2,-0.83221515599357,1,translational_only,NA,NA,1
385,ADGRL3,3.09527052542766,1,both,NA,NA,1
386,ADGRL3-AS1,-0.442429806918284,1,translational_only,NA,NA,1
387,ADGRL4,1.23576378699749,1,translational_only,NA,NA,1
388,ADGRV1,0,1,translational_only,NA,NA,1
389,ADH1A,-0.116859995403104,1,translational_only,NA,NA,1
390,ADH1B,0,1,translational_only,NA,NA,1
391,ADH1C,0,1,translational_only,NA,NA,1
392,ADH4,1.94014715991208,1,both,NA,NA,1
393,ADH5,0.803372089440781,1,translational_only,0.001959430557927,0.160495296662645,-1
394,ADH6,3.09527477213161,1,both,NA,NA,1
395,ADH7,0,1,translational_only,NA,NA,1
396,ADHFE1,0,1,translational_only,NA,NA,1
397,ADI1,-0.068621546575249,1,translational_only,0.659373499478192,1,1
398,ADIG,0,1,translational_only,NA,NA,1
399,ADIPOQ,-0.432591216571268,1,translational_only,0.396692184672988,1,1
400,ADIPOQ-AS1,0.041277780415883,1,translational_only,NA,NA,1
401,ADIPOR1,0.426661071856722,1,translational_only,0.588847968093602,1,-1
402,ADIPOR2,0.309376520666873,1,translational_only,0.538197933930136,1,-1
403,ADIRF,0.032912139218455,1,translational_only,0.057153465916,0.721187984738142,-1
404,ADK,-0.447916037406283,1,translational_only,NA,NA,1
405,ADM,0.722104708751192,1,translational_only,NA,NA,1
406,ADM2,0.170786119631886,1,translational_only,0.821315536402669,1,-1
407,ADM5,-2.38398921096614,1,both,NA,NA,1
408,ADNP,0.868119445041314,1,translational_only,0.004872668364196,0.23914186360008,-1
409,ADNP-AS1,0.391995994822268,1,translational_only,0.91123579815609,1,1
410,ADNP2,0.507779932599471,1,translational_only,NA,NA,1
411,ADO,-1.26322597873336,1,translational_only,NA,NA,1
412,ADORA1,2.16620875539062,1,both,NA,NA,1
413,ADORA2A,0,1,translational_only,NA,NA,1
414,ADORA2A-AS1,0.260618769009414,1,translational_only,0.741974706997925,1,-1
415,ADORA2B,-0.330957536111241,1,translational_only,NA,NA,1
416,ADORA3,0,1,translational_only,NA,NA,1
417,ADPGK,0.801937032970232,1,translational_only,NA,NA,1
418,ADPGK-AS1,0.508322440159724,1,translational_only,0.738341316370082,1,-1
419,ADPRH,2.26136832302026,1,both,NA,NA,1
420,ADPRHL1,0,1,translational_only,NA,NA,1
421,ADPRHL2,-0.14224058154166,1,translational_only,NA,NA,1
422,ADPRM,-0.144241887292255,1,translational_only,NA,NA,1
423,ADRA1A,-0.146422588004539,1,translational_only,0.872605187780503,1,1
424,ADRA1B,-1.89628953369537,1,both,NA,NA,1
425,ADRA1D,0.213247477117419,1,translational_only,NA,NA,1
426,ADRA2A,0,1,translational_only,NA,NA,1
427,ADRA2B,0,1,translational_only,NA,NA,1
428,ADRA2C,0,1,translational_only,NA,NA,1
429,ADRB1,0,1,translational_only,NA,NA,1
430,ADRB2,-1.49930048670432,1,translational_only,NA,NA,1
431,ADRB3,0,1,translational_only,NA,NA,1
432,ADRBK1,0.924311525134732,1,translational_only,NA,NA,1
433,ADRBK2,-0.145161816133277,1,translational_only,0.770710970777704,1,-1
434,ADRM1,0.209244457701,1,translational_only,0.761480538520775,1,1
435,ADSL,-1.6144798584002,1,both,NA,NA,1
